date,channel,videos,subscribers,views
2025-06-26 02:09:11 UTC,Fortnite,253,265,241151
2025-06-26 02:09:11 UTC,Troubleshooting,14,35,19752
2025-06-26 02:09:11 UTC,Adamsmr,52,14,17339
2025-06-26 02:09:11 UTC,AJ_Studios,11,5,5383
2025-06-27 02:09:43 UTC,Main,170,394,504199
2025-06-27 02:09:43 UTC,Fortnite,253,265,241154
2025-06-27 02:09:43 UTC,Troubleshooting,14,35,19755
2025-06-27 02:09:43 UTC,Adamsmr,52,14,17343
2025-06-27 02:09:43 UTC,AJ_Studios,11,5,5383
2025-06-28 02:05:16 UTC,Main,170,394,504472
2025-06-28 02:05:16 UTC,Fortnite,253,265,241156
2025-06-28 02:05:16 UTC,Troubleshooting,14,35,19756
2025-06-28 02:05:16 UTC,Adamsmr,52,14,17343
2025-06-28 02:05:16 UTC,AJ_Studios,11,5,5388
2025-06-29 02:26:21 UTC,Main,170,394,504513
2025-06-29 02:26:21 UTC,Fortnite,254,266,241158
2025-06-29 02:26:21 UTC,Troubleshooting,14,35,19760
2025-06-29 02:26:21 UTC,Adamsmr,52,14,17343
2025-06-29 02:26:21 UTC,AJ_Studios,11,5,5388
2025-06-30 02:21:01 UTC,Main,170,394,504638
2025-06-30 02:21:01 UTC,Fortnite,255,269,246246
2025-06-30 02:21:01 UTC,Troubleshooting,14,35,19761
2025-06-30 02:21:01 UTC,Adamsmr,53,14,17355
2025-06-30 02:21:01 UTC,AJ_Studios,11,5,5388
2025-07-01 02:27:20 UTC,Main,170,394,504692
2025-07-01 02:27:20 UTC,Fortnite,255,269,251161
2025-07-01 02:27:20 UTC,Troubleshooting,14,35,19761
2025-07-01 02:27:20 UTC,Adamsmr,53,15,17358
2025-07-01 02:27:20 UTC,AJ_Studios,11,5,5390
2025-07-02 02:09:20 UTC,Main,170,394,504716
2025-07-02 02:09:20 UTC,Fortnite,256,270,253696
2025-07-02 02:09:20 UTC,Troubleshooting,14,35,19763
2025-07-02 02:09:20 UTC,Adamsmr,54,15,18327
2025-07-02 02:09:20 UTC,AJ_Studios,11,5,5390
2025-07-03 02:09:53 UTC,Main,170,394,504777
2025-07-03 02:09:53 UTC,Fortnite,257,270,255477
2025-07-03 02:09:53 UTC,Troubleshooting,14,35,19765
2025-07-03 02:09:53 UTC,Adamsmr,54,15,19352
2025-07-03 02:09:53 UTC,AJ_Studios,11,5,5391
2025-07-04 00:50:53 UTC,Main,170,394,504813
2025-07-04 00:50:53 UTC,Fortnite,257,270,255578
2025-07-04 00:50:53 UTC,Troubleshooting,14,35,19768
2025-07-04 00:50:53 UTC,Adamsmr,53,15,19764
2025-07-04 00:50:53 UTC,AJ_Studios,11,5,5391
2025-07-04 02:08:55 UTC,Main,170,394,504813
2025-07-04 02:08:55 UTC,Fortnite,257,270,255907
2025-07-04 02:08:55 UTC,Troubleshooting,14,35,19768
2025-07-04 02:08:55 UTC,Adamsmr,53,15,19772
2025-07-04 02:08:55 UTC,AJ_Studios,11,5,5391
2025-07-04 12:27:13 UTC,Main,170,394,504829
2025-07-04 12:27:13 UTC,Fortnite,257,270,255907
2025-07-04 12:27:13 UTC,Troubleshooting,14,35,19775
2025-07-04 12:27:13 UTC,Adamsmr,54,15,19772
2025-07-04 12:27:13 UTC,AJ_Studios,11,5,5391
2025-07-05 02:05:00 UTC,Main,170,394,504874
2025-07-05 02:05:00 UTC,Fortnite,257,269,256300
2025-07-05 02:05:00 UTC,Troubleshooting,14,35,19776
2025-07-05 02:05:00 UTC,Adamsmr,54,15,19772
2025-07-05 02:05:00 UTC,AJ_Studios,11,5,5392
